year,nation,peoptrust,lifesat,decision,marital,war,leftrigh,religious,divorce,suicide,proud,sex,age,education,ethnic
1990,Britain,careful,6,grt deal,single,no,5,not rel,6,5,quite,male,18,15,not applicable
1990,USA,trusted,8,8,single,no,9,relig,5,never,quite,male,38,19,black
1990,Britain,careful,5,6,married,yes,8,not rel,never,never,very,male,55,15,not applicable
1990,USA,careful,5,6,single,no,5,not rel,2,2,not very,female,22,18,white
1990,Sweden,careful,8,6,married,yes,6,not rel,9,4,quite,male,49,"dk, na",not applicable
1990,USA,trusted,6,7,widow,yes,5,relig,5,5,very,female,45,18,white
1990,USA,trusted,satisf,8,widow,yes,right,relig,4,never,very,female,79,16,white
1990,Britain,careful,8,8,married,no,5,relig,5,never,quite,female,27,16,not applicable
1990,Britain,careful,5,2,married,yes,5,not rel,8,4,very,female,40,17,not applicable
1990,USA,trusted,8,8,married,yes,6,not rel,9,5,very,male,53,17,white
1990,USA,trusted,9,grt deal,single,yes,6,relig,3,2,very,male,21,21,white
1990,Sweden,trusted,8,8,married,yes,8,not rel,always,8,quite,male,74,"dk, na",not applicable
1990,Britain,trusted,9,7,widow,no,8,not rel,9,2,very,female,54,16,not applicable
1990,France,trusted,9,8,married,yes,7,relig,5,4,quite,male,25,21,not applicable
1990,Britain,careful,5,7,widow,yes,6,not rel,5,5,very,female,90,16,not applicable
1990,France,careful,5,5,as marr,yes,5,not rel,7,5,quite,female,26,21,not applicable
1990,Britain,careful,9,9,married,yes,5,not rel,2,never,very,female,57,15,not applicable
1990,USA,careful,satisf,9,married,yes,right,relig,never,never,very,female,37,20,black
1990,USA,careful,7,6,single,no,5,relig,5,never,quite,female,21,21,white
1990,Britain,trusted,7,grt deal,single,yes,7,not rel,7,never,very,female,19,20,not applicable
1990,Britain,careful,8,8,widow,yes,4,relig,4,2,very,female,67,14,not applicable
1990,USA,careful,satisf,9,as marr,yes,9,not rel,6,never,very,male,19,17,white
1990,USA,trusted,9,9,married,yes,5,relig,9,3,very,male,61,18,white
1990,Sweden,careful,6,grt deal,widow,yes,5,not rel,5,3,very,female,67,"dk, na",not applicable
1990,France,trusted,6,5,separat,yes,8,relig,7,never,very,male,68,12,not applicable
1990,Sweden,careful,8,7,married,yes,8,relig,6,2,not very,female,35,21,not applicable
1990,Britain,trusted,8,5,married,no,5,not rel,5,never,quite,female,18,16,not applicable
1990,USA,careful,7,9,married,yes,5,not rel,5,never,very,male,33,20,white
